,Suburb,Address,Rooms,Type,Method,SellerG,Date
0,Abbotsford,68 Studley St,2,h,SS,Jellis,3/09/2016
1,Abbotsford,85 Turner St,2,h,S,Biggin,3/12/2016
2,Abbotsford,25 Bloomburg St,2,h,S,Biggin,4/02/2016
3,Abbotsford,18/659 Victoria St,3,u,VB,Rounds,4/02/2016
4,Abbotsford,5 Charles St,3,h,SP,Biggin,4/03/2017
5,Abbotsford,40 Federation La,3,h,PI,Biggin,4/03/2017
6,Abbotsford,55a Park St,4,h,VB,Nelson,4/06/2016
7,Abbotsford,16 Maugie St,4,h,SN,Nelson,6/08/2016
8,Abbotsford,53 Turner St,2,h,S,Biggin,6/08/2016
9,Abbotsford,99 Turner St,2,h,S,Collins,6/08/2016
10,Abbotsford,129 Charles St,2,h,S,Jellis,7/05/2016
11,Abbotsford,124 Yarra St,3,h,S,Nelson,7/05/2016
12,Abbotsford,121/56 Nicholson St,2,u,PI,Biggin,7/11/2016
13,Abbotsford,17 Raphael St,4,h,W,Biggin,7/11/2016
14,Abbotsford,98 Charles St,2,h,S,Nelson,8/10/2016
15,Abbotsford,217 Langridge St,3,h,S,Jellis,8/10/2016
16,Abbotsford,18a Mollison St,2,t,S,Jellis,8/10/2016
17,Abbotsford,6/241 Nicholson St,1,u,S,Biggin,8/10/2016
18,Abbotsford,10 Valiant St,2,h,S,Biggin,8/10/2016
19,Abbotsford,403/609 Victoria St,2,u,S,Dingle,8/10/2016
20,Abbotsford,2 Rich St,2,h,SP,Biggin,10/12/2016
21,Abbotsford,25/84 Trenerry Cr,2,u,SP,Biggin,10/12/2016
22,Abbotsford,106/119 Turner St,1,u,SP,Purplebricks,10/12/2016
23,Abbotsford,411/8 Grosvenor St,2,u,VB,Jellis,12/11/2016
24,Abbotsford,40 Nicholson St,3,h,VB,Nelson,12/11/2016
25,Abbotsford,123/56 Nicholson St,2,u,S,Biggin,12/11/2016
26,Abbotsford,22 Park St,4,h,S,Biggin,12/11/2016
27,Abbotsford,13/84 Trenerry Cr,1,u,S,Biggin,12/11/2016
28,Abbotsford,45 William St,2,h,S,Biggin,13/08/2016
29,Abbotsford,7/20 Abbotsford St,1,u,SP,Greg,14/05/2016
30,Abbotsford,16 William St,2,h,S,Jellis,15/10/2016
31,Abbotsford,16/11 Nicholson St,3,u,PI,Philip,16/04/2016
32,Abbotsford,42 Henry St,3,h,S,Jellis,16/07/2016
33,Abbotsford,250 Langridge St,2,t,S,Jellis,16/07/2016
34,Abbotsford,16b Mollison St,2,h,PI,Biggin,16/07/2016
35,Abbotsford,78 Yarra St,3,h,S,LITTLE,16/07/2016
36,Abbotsford,196 Nicholson St,3,h,S,Collins,17/09/2016
37,Abbotsford,42 Valiant St,2,h,S,Biggin,17/09/2016
38,Abbotsford,3/72 Charles St,4,h,PI,Kay,18/03/2017
39,Abbotsford,1/1 Mayfield St,3,h,SP,Nelson,18/03/2017
40,Abbotsford,13/11 Nicholson St,3,t,S,Beller,18/03/2017
41,Abbotsford,138/56 Nicholson St,3,u,S,Jellis,18/03/2017
42,Abbotsford,6/219 Nicholson St,2,u,S,Collins,18/06/2016
43,Abbotsford,52a William St,2,h,PI,Biggin,18/06/2016
44,Abbotsford,49 Park St,2,h,S,Marshall,19/11/2016
45,Abbotsford,65/80 Trenerry Cr,1,u,S,Biggin,19/11/2016
46,Abbotsford,119/52 Nicholson St,1,u,S,hockingstuart,22/05/2016
47,Abbotsford,8b Park St,4,h,PI,Biggin,22/05/2016
48,Abbotsford,5/20 Abbotsford St,1,u,SP,Greg,22/08/2016
49,Abbotsford,48 Abbotsford St,3,h,PI,Nelson,22/08/2016
50,Abbotsford,116/56 Nicholson St,1,u,S,Jellis,22/08/2016
51,Abbotsford,159 Park St,2,h,S,Nelson,22/08/2016
52,Abbotsford,49/84 Trenerry Cr,2,h,S,Biggin,23/04/2016
53,Abbotsford,31 Turner St,4,h,S,Collins,24/09/2016
54,Abbotsford,17/1 Abbot St,3,t,SP,Jellis,25/02/2017
55,Abbotsford,166 Gipps St,3,h,S,Biggin,25/02/2017
56,Abbotsford,60 Stafford St,3,h,S,Biggin,25/02/2017
57,Abbotsford,11/205 Gipps St,1,u,S,Nelson,26/07/2016
58,Abbotsford,47 Studley St,2,h,S,Jellis,27/11/2016
59,Abbotsford,45 Yarra St,3,h,SP,Jellis,27/11/2016
60,Abbotsford,4/328 Johnston St,2,u,PI,Biggin,28/05/2016
61,Abbotsford,200 Nicholson St,2,h,S,Nelson,28/05/2016
62,Abbotsford,82/84 Trenerry Cr,2,u,SP,Biggin,28/05/2016
63,Abbotsford,27 Charles St,2,h,S,Biggin,30/07/2016
64,Abbotsford,22 Park St,4,h,W,Biggin,30/07/2016
65,Abbotsford,40/80 Trenerry Cr,3,h,S,Biggin,30/07/2016
66,Airport West,154 Halsey Rd,3,t,PI,Nelson,3/09/2016
67,Airport West,50 Bedford St,3,h,VB,Nelson,3/12/2016
68,Airport West,50 Bedford St,3,h,SP,Nelson,4/03/2017
69,Airport West,5 Harrington Rd,3,h,S,Brad,4/03/2017
70,Airport West,23 Hart St,2,h,S,Nelson,4/03/2017
71,Airport West,1/80 Hawker St,3,t,S,Brad,4/03/2017
72,Airport West,1/37 Hillside Gr,3,h,S,Maddison,4/03/2017
73,Airport West,2/49 McIntosh St,2,u,VB,Barry,4/03/2017
74,Airport West,4/9 West Ct,2,t,VB,Barry,4/06/2016
75,Airport West,1/36 York St,3,t,VB,Nelson,4/06/2016
76,Airport West,33 Bowes Av,5,h,S,Airport,6/08/2016
77,Airport West,89 Bowes Av,4,h,S,Barry,6/08/2016
78,Airport West,45 Laurence Av,4,h,S,Nelson,6/08/2016
79,Airport West,54 Marshall Rd,3,h,S,Barry,6/08/2016
80,Airport West,36 Roberts Rd,4,h,S,Considine,6/08/2016
81,Airport West,11 Harrington Rd,6,h,SP,Barry,7/05/2016
82,Airport West,2/252 Parer Rd,2,t,S,Barry,7/05/2016
83,Airport West,3/19 Hart St,2,u,S,Barry,7/11/2016
84,Airport West,81a Roberts Rd,3,h,VB,Nelson,8/10/2016
85,Airport West,2/62 Clydesdale Rd,2,u,S,Nelson,10/09/2016
86,Airport West,3 Deidre Ct,3,h,PI,Rendina,10/09/2016
87,Airport West,3/24 Elstone Av,3,u,VB,Nelson,10/09/2016
88,Airport West,13 Etzel St,3,h,S,Nelson,10/12/2016
89,Airport West,37a North St,3,t,PI,Barry,10/12/2016
90,Airport West,1/43 Cameron St,3,u,S,Nelson,11/02/2017
91,Airport West,1/69 Bowes Av,3,u,VB,Nelson,12/11/2016
92,Airport West,2/9 El Reno Cr,3,h,PI,Ray,12/11/2016
93,Airport West,92 McNamara Av,4,h,S,Jellis,13/08/2016
94,Airport West,145a Victory Rd,2,u,S,Barry,13/08/2016
95,Airport West,20 Creswell Av,3,h,S,Barry,14/05/2016
96,Airport West,241 Parer Rd,5,h,PI,Propertyau,14/05/2016
97,Airport West,71 Bowes Av,4,h,S,Barry,15/10/2016
98,Airport West,2/40 Earl St,3,t,PI,Brad,15/10/2016
99,Airport West,2/112 Parer Rd,2,u,SP,Nelson,15/10/2016
100,Airport West,180 Parer Rd,3,h,S,Barry,16/04/2016
101,Airport West,4/54 Hawker St,2,u,S,Barry,16/07/2016
102,Airport West,43 Hillside Gr,3,h,SP,Barry,16/07/2016
103,Airport West,174 Parer Rd,2,h,S,Barry,16/07/2016
104,Airport West,138 Victory Rd,3,h,S,Nelson,16/07/2016
105,Airport West,75 King St,3,h,S,McDonald,17/09/2016
106,Airport West,6 Kittyhawk St,4,h,S,Brad,17/09/2016
107,Airport West,7 McNamara Av,3,h,S,Barry,17/09/2016
108,Airport West,478 Fullarton Rd,3,h,PI,Barry,18/03/2017
109,Airport West,144 Marshall Rd,3,h,S,Rendina,18/03/2017
110,Airport West,106 Parer Rd,3,h,S,Nelson,18/03/2017
111,Airport West,1/41 Hillside Gr,2,t,VB,Nelson,18/06/2016
